Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
HLT_HIPuAK4CaloJet120Eta5p1_v7, HLT_HIPuAK4CaloJet120Eta5p1_v,  ,  , 2, 7.21, 0, 0.0
HLT_HICsAK4PFJet60Eta1p5_v7, HLT_HICsAK4PFJet60Eta1p5_v,  ,  , 2, 7.21, 0, 0.0
HLT_HICsAK4PFJet120Eta1p5_v7, HLT_HICsAK4PFJet120Eta1p5_v,  ,  , 2, 7.21, 0, 0.0
HLT_HICsAK4PFJet120Eta2p1_v1, HLT_HICsAK4PFJet120Eta2p1_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIGEDPhoton60_v7, HLT_HIGEDPhoton60_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIGEDPhoton60_EB_v7, HLT_HIGEDPhoton60_EB_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIEle40Gsf_v7, HLT_HIEle40Gsf_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIEle50Gsf_v7, HLT_HIEle50Gsf_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v7, HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v,  ,  , 2, 7.21, 1, 3.6
HLT_HIL1SingleMu0_Open_v1, HLT_HIL1SingleMu0_Open_v,  ,  , 2, 7.21, 0, 0.0
HLT_HIL1SingleMu0_v1, HLT_HIL1SingleMu0_v,  ,  , 2, 7.21, 1, 3.6
Dataset_HIHcalNZS, Dataset_HIHcalNZS,  ,  , 2, 7.21, 0, 0.0
AlCa_EcalEtaEEonlyForHI_v6, AlCa_EcalEtaEEonlyForHI_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIHcalNZS_v7, HLT_HIHcalNZS_v,  ,  , 1, 3.6, 1, 3.6
HLT_HIHcalPhiSym_v7, HLT_HIHcalPhiSym_v,  ,  , 1, 3.6, 0, 0.0
